======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=  103 a= 43(MANAGER:9) r= +4.4196 cum=   -128.59 v= +5.9093 top5=[a43=0.040, a39=0.033, a34=0.031, a11=0.030, a19=0.027]
  s=  104 a= 21(BUILD:BigFarm) r= -4.3139 cum=   -132.90 v= +6.8480 top5=[a43=0.040, a39=0.034, a34=0.030, a11=0.029, a18=0.027] [BUILD FAILED: BigFarm]
  s=  105 a=  4(BUILD:Garden) r= -0.9455 cum=   -133.85 v= +6.7287 top5=[a43=0.040, a39=0.034, a34=0.029, a11=0.029, a18=0.027] [BUILD: Garden]
  s=  106 a= 30(BUILD:BigIronmine) r= -0.9503 cum=   -134.80 v= +6.6067 top5=[a43=0.039, a39=0.035, a11=0.029, a34=0.029, a6=0.027] [BUILD: BigIronmine]
  s=  107 a=  3(BUILD:Farm) r= -4.3378 cum=   -139.14 v= +6.4922 top5=[a43=0.039, a39=0.035, a11=0.029, a34=0.029, a6=0.027] [BUILD FAILED: Farm]
  s=  108 a= 20(BUILD:BigHouse) r= -0.9543 cum=   -140.09 v= +6.3713 top5=[a43=0.039, a39=0.035, a11=0.029, a34=0.028, a6=0.027] [BUILD: BigHouse]
  s=  109 a= 30(BUILD:BigIronmine) r= -0.9573 cum=   -141.05 v= +6.2498 top5=[a43=0.039, a39=0.035, a11=0.029, a34=0.028, a6=0.027] [BUILD: BigIronmine]
  s=  110 a=  4(BUILD:Garden) r= -4.3606 cum=   -145.41 v= +6.1257 top5=[a43=0.039, a39=0.035, a11=0.029, a34=0.028, a6=0.027] [BUILD FAILED: Garden]
  s=  111 a= 38(MANAGER:4) r= +0.7730 cum=   -144.64 v= +6.0125 top5=[a43=0.039, a39=0.035, a11=0.029, a34=0.028, a6=0.027]
  s=  112 a=  7(BUILD:Sawmill) r= +4.3490 cum=   -140.29 v= +5.3329 top5=[a34=0.042, a43=0.041, a17=0.033, a11=0.033, a30=0.033] [BUILD: Sawmill]
  s=  113 a= 21(BUILD:BigFarm) r= -4.2589 cum=   -144.55 v= +6.4160 top5=[a43=0.043, a34=0.037, a30=0.036, a11=0.033, a39=0.032] [BUILD FAILED: BigFarm]
