STEP 57 | MGR:credit_take | total=-1.160 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.52008e+06 pop=29 bases=1 money=182000 credit=111922 day=57
STEP 58 | MGR:credit_take | total=-1.161 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.51986e+06 pop=29 bases=1 money=182000 credit=112145 day=58
STEP 59 | MGR:credit_take | total=-1.162 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.51963e+06 pop=29 bases=1 money=182000 credit=112369 day=59
STEP 60 | MGR:credit_take | total=-6.163 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=-5.000 gover=0.000 | nw=1.51941e+06 pop=29 bases=1 money=182000 credit=112593 day=60
STEP 61 | MGR:credit_take | total=-1.164 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.51918e+06 pop=29 bases=1 money=182000 credit=112818 day=61
STEP 62 | MGR:credit_take | total=-1.165 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.51896e+06 pop=29 bases=1 money=182000 credit=113043 day=62
STEP 63 | MGR:credit_take | total=-1.166 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.51873e+06 pop=29 bases=1 money=182000 credit=113269 day=63
STEP 64 | MGR:credit_take | total=-1.167 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.5185e+06 pop=29 bases=1 money=182000 credit=113495 day=64
STEP 65 | MGR:credit_take | total=-1.169 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.51828e+06 pop=29 bases=1 money=182000 credit=113721 day=65
STEP 66 | MGR:credit_take | total=-1.170 err=-1.000 tax=0.000 taxb=0.300 build=0.000 cost=0.000 div=0.000 prox=0.000 prov=0.000 preq=0.000 pres=0.000 sale=0.000 mtax=0.000 chain=0.000 daily=0.000 nov=0.000 mile=0.000 surv=0.100 idle=0.000 gover=0.000 | nw=1.51805e+06 pop=29 bases=1 money=182000 credit=113948 day=66
